        song_id         |               song_name                | video_duration |                    album_name                    |    artist_name    
------------------------+----------------------------------------+----------------+--------------------------------------------------+-------------------
 4s0dJmVknlUl7V6oK3puzZ | Zombie                                 |            213 | The Book of Us : The Demon                       | DAY6
 3ZWCWArPYr1v0iF763oSOz | Crossroads                             |            296 | 回:LABYRINTH                                     | GFRIEND
 4as4XEOR03oGm1STUKl6pa | BBIBBI                                 |            209 | BBIBBI                                           | IU
 3y7ByLZ05tluscOTRgEJ9Y | Palette (Feat. G-DRAGON)               |            219 | Palette                                          | IU
 6u78votmpGuKAE4BOeJtRC | Bing Bing                              |            205 | ‘The ReVe Festival’ Day 1                        | Red Velvet
 1uszVo0bVPALn32ix2kJ9e | Shoot Me                               |            180 | Shoot Me : Youth Part 1                          | DAY6
 2bAAj29XGc4h1G4oEGYCmg | MORE & MORE                            |            241 | MORE & MORE                                      | TWICE
 0u7aRGM7YmvtsmG5NSrNsO | Feel Special                           |            221 | Feel Special                                     | TWICE
 60zxdAqWtdDu0vYsbXViA7 | FANCY                                  |            219 | FANCY YOU                                        | TWICE
 7H1YffYl5eH6y5jqOpVeLT | Say My Name                            |            218 | Say My Name                                      | ANS
 4dOrfL6qgxnjCMSmkekFhB | Gleam                                  |            189 | Gleam                                            | Mamamoo
 3LvD7wWPrcp8jqPSmaaVAc | The Boys                               |            320 | The Boys                                         | Girls' Generation
 5SE57ljOIUJ1ybL9U6CuBH | DNA                                    |            256 | Love Yourself 承 'Her'                           | BTS
 6JdS5rJvJaRA7B1tcm7kxZ | Dionysus                               |            298 | MAP OF THE SOUL : PERSONA                        | BTS
 3p5PbT7QMSQpTG5X1qUqk1 | Love Is Not Over (Full Length Edition) |            224 | The Most Beautiful Moment in Life: Young Forever | BTS
 0WNGsQ1oAuHzNTk8jivBKW | Spring Day                             |            329 | You Never Walk Alone                             | BTS
 5mejZAeca4Ry7Sptw7LnvS | Catch Me If You Can - Korean Version   |            263 | Catch Me If You Can                              | Girls' Generation
 2X0JoUDECDLmvlWxONeEY2 | 예뻤어 You Were Beautiful               |            284 | Nice Kpop                                        | DAY6 데이식스
 7k1YG4KliiXCVawNyvwT7X | SHE BAD                                |            216 | F;UZZLE                                          | MYTEEN
 1c4zpHXMMlGNToAuFJjsyg | 커튼 Curtain                            |            264 | 커튼 Curtain                                     | SUHO
 1c4zpHXMMlGNToAuFJjsyg | 커튼 Curtain                            |            264 | 커튼 Curtain                                     | Youngjoo Song
(21 rows)
